Runs,4s,6s,Dismissal,Inns,Opposition,Play OR Not Play
13,2,0,caught,1,v South Africa,Not Play
5,1,0,bowled,3,v South Africa,Not Play
17,3,0,caught,2,v South Africa,Not Play
40,6,0,caught,3,v South Africa,Not Play
7,0,0,caught,1,v Sri Lanka,Not Play
74,7,0,bowled,3,v Sri Lanka,Play
5,0,0,caught,2,v Sri Lanka,Not Play
48,4,1,caught,4,v Sri Lanka,Play
55,6,0,caught,1,v Sri Lanka,Play
52*,5,0,not out,3,v Sri Lanka,Play
103,7,1,caught,2,v Sri Lanka,Play
55,2,0,caught,4,v Sri Lanka,Play
109,14,0,stumped,1,v Australia,Play
15*,0,0,not out,3,v Australia,Play
19*,3,0,not out,1,v Australia,Play
13*,1,0,not out,3,v New Zealand,Play
112,16,0,caught,2,v New Zealand,Play
24*,3,0,not out,4,v New Zealand,Play
15,1,0,caught,1,v New Zealand,Not Play
37,6,0,caught,3,v New Zealand,Not Play
82,5,2,caught,2,v Bangladesh,Play
21*,3,0,not out,1,v Bangladesh,Play
18*,2,0,not out,3,v Bangladesh,Play
96,13,0,bowled,2,v Sri Lanka,Play
14,0,0,caught,1,v Sri Lanka,Not Play
16,0,0,caught,3,v Sri Lanka,Not Play
78*,6,0,not out,2,v Sri Lanka,Play
2,0,0,caught,1,v England,Not Play
27,3,0,caught,3,v England,Not Play
32,3,0,caught,1,v England,Not Play
3*,0,0,not out,3,v England,Play
39,3,0,caught,1,v England,Not Play
36,4,0,bowled,3,v England,Not Play
25,4,0,caught,1,v England,Not Play
45,3,0,caught,3,v England,Play
26,5,0,caught,2,v England,Not Play
7,1,0,caught,4,v England,Not Play
46*,5,0,not out,2,v England,Play
0,0,0,caught,4,v England,Not Play
44,7,0,caught,2,v England,Play
15,0,0,stumped,3,v West Indies,Not Play
56,6,0,bowled,1,v West Indies,Play
51,5,0,bowled,1,v West Indies,Play
42,4,0,caught,3,v West Indies,Play
7,0,0,caught,1,v New Zealand,Not Play
2,0,0,bowled,3,v New Zealand,Not Play
41,7,0,caught,2,v New Zealand,Play
19,2,0,run out,4,v New Zealand,Not Play
59*,6,0,not out,2,v Australia,Play
24,1,0,bowled,4,v Australia,Not Play
10,1,0,caught,1,v Australia,Not Play
43,4,0,bowled,3,v Australia,Play
18,2,0,caught,2,v Australia,Not Play
72*,8,1,not out,4,v Australia,Play
54,5,1,bowled,2,v West Indies,Play
9,2,0,caught,2,v West Indies,Not Play
23,2,0,caught,4,v West Indies,Not Play
51,4,0,caught,1,v West Indies,Play
4,0,0,caught,3,v West Indies,Not Play
18,1,1,bowled,2,v Sri Lanka,Not Play
19,0,0,stumped,4,v Sri Lanka,Not Play
14,1,0,caught,2,v Sri Lanka,Not Play
68,5,0,caught,4,v Sri Lanka,Play
14,2,0,bowled,1,v England,Not Play
8,1,0,lbw,3,v England,Not Play
15,0,0,run out,1,v Australia,Not Play
94,7,0,caught,1,v Australia,Play
81,5,1,lbw,3,v Australia,Play
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
